FID;F_NAME;F_TYPE;ADDRESS;CITY;EASTING;NORTHING;COMMENTS;ZIPCODE;CREATE_DAT;MODIFY_DAT;AUDIT_DATE;geo_shape;geo_point_2d
120;Discount Food Mart;Convenience Store;1009 Winchester Rd NE;Huntsville;445240.0;1564774.00011;Convenience Store;35811;;;;"{""coordinates"": [-86.53590506948473, 34.798877650657815], ""type"": ""Point""}";34.798877650657815, -86.53590506948473
249;Foods for Life;Specialty;1407 Memorial Pky NW Unit C;Huntsville;425681.81602;1546434.66113;Health & Diet Foods Retail;35801;;;;"{""coordinates"": [-86.60057915170664, 34.74809888389872], ""type"": ""Point""}";34.74809888389872, -86.60057915170664
150;Texaco North Parkway;Convenience Store;3030 Memorial Pky NW;Huntsville;429507.886123;1552173.14408;Convenience Store;35810;;;;"{""coordinates"": [-86.58798729375837, 34.763944385483896], ""type"": ""Point""}";34.763944385483896, -86.58798729375837
240;Family Dollar;Variety Store;3610 Governors Dr NW;Huntsville;420889.201917;1536664.96315;Variety Store;35805;;;;"{""coordinates"": [-86.61627835957995, 34.72115611044987], ""type"": ""Point""}";34.72115611044987, -86.61627835957995
127;Dollar General;Variety Store;4710 University Dr NW;Huntsville;411502.021873;1542244.23415;Variety Store;35816;;;;"{""coordinates"": [-86.64766396671426, 34.736279721921775], ""type"": ""Point""}";34.736279721921775, -86.64766396671426
24;Rincom Guatemala;Specialty;2809 Governors Dr SW;Huntsville;424673.138575;1536087.69068;Grocery;35805;;;;"{""coordinates"": [-86.6036727373023, 34.719650376205934], ""type"": ""Point""}";34.719650376205934, -86.6036727373023
196;Mapco Mart;Convenience Store;8897 US 72 W Hwy NW;Madison;370110.154197;1546462.39631;Convenience Store;35758;;;;"{""coordinates"": [-86.78554731941435, 34.74686926342511], ""type"": ""Point""}";34.74686926342511, -86.78554731941435
6;Hye & Bye;Convenience Store;2212 Clinton Ave NW;Huntsville;425630.66586;1537720.69956;Grocery;35805;;;;"{""coordinates"": [-86.60052809776917, 34.72415702865619], ""type"": ""Point""}";34.72415702865619, -86.60052809776917
134;Walgreens;Drugstore;2100 Brandon St SW;Huntsville;432019.829918;1535476.88285;Drug and General Merchandise;35801;;;;"{""coordinates"": [-86.57921214516894, 34.718124350333355], ""type"": ""Point""}";34.718124350333355, -86.57921214516894
52;Harvest Shop Rite;Convenience Store;1820 Nick Davis Rd;Harvest;372060.176544;1567847.55039;Grocery;35749;;;;"{""coordinates"": [-86.77972761728236, 34.80567038374993], ""type"": ""Point""}";34.80567038374993, -86.77972761728236
211;Pulaski Corner Store;Convenience Store;4001 Pulaski Pke NW;Huntsville;420789.497064;1557720.64315;Convenience Store;35810;;;;"{""coordinates"": [-86.61715648156584, 34.77900210497398], ""type"": ""Point""}";34.77900210497398, -86.61715648156584
35;Dollar General Market;Supermarket;8466 Old Madison Pke;Madison;383584.861172;1531918.43492;Grocery;35758;;;;"{""coordinates"": [-86.74026200827305, 34.707254904254064], ""type"": ""Point""}";34.707254904254064, -86.74026200827305
161;Everyday Exxon;Convenience Store;4811 University Dr NW;Huntsville;409684.600967;1542439.93093;Convenience Store;35816;;;;"{""coordinates"": [-86.65371771991506, 34.73677678389428], ""type"": ""Point""}";34.73677678389428, -86.65371771991506
